key,kr,en,jp,zh-sc-gl,zh-sc-zai,th,id,ru,it,pt,es,vi,zh-hant,fr,tr
Kiehls_Tutorial_Guide_Desc_003_2,획득한 키엘 공병을 미니화단으로 가져가 칼렌듈라 꽃을 심어주세요.,Take the empty bottle to the mini-garden and create a calendula flower vase with the recycled bottle. ,獲得したキールズの空ボトルをミニ花壇に持って行って、カレンデュラのお花を植えてね。,拿着获得的科颜氏空瓶，到迷你花坛种下金盏花吧,拿着获得的科颜氏空瓶，到迷你花坛种下金盏花吧,นำขวดเปล่า Kiehl's ที่เก็บได้ไปที่สวนจิ๋ว แล้วปลูกดอกคาเลนดูล่า,Bawa botol kosong Kiehl's yang didapat ke taman mini dan tanam bunga Calendula.,Отнесите пустую баночку Kiehl's в мини-сад и посадите в нее ромашку.,Porta il flacone vuoto Kiehl’s acquistato nel giardino e pianta un seme del fiore di calendula.,Leve o frasco da Kiehl para o minijardim e plante a flor de calêndula.,Lleva el frasco vacío de Kiehl's que conseguiste al minijardín y planta una caléndula.,Đem chai rỗng của Kiehl đến khu vườn nhỏ và trồng hoa cúc.,將契爾氏空瓶拿到迷你花圃並種植金盞花,Apportez la bouteille vide de Kiehl's obtenue sur la petite plaque-bande et plantez une fleur de calendula.,Aldığın boş Kiehl's şişesini küçük bahçeye götür ve bir kadife çiçeği dik.
Kiehls_Tutorial_Guide_Desc_003_3,칼렌듈라 꽃을 심은 키엘 공병을 메리고라운드 단상 위에 올려주세요. <br>공병 화분이 없으면 페달을 돌릴 수 없어요.,Place the calendula flower vase on the platform to activate the carousel. <br>The bike’s pedal only works with the flower vase. ,カレンデュラのお花を植えたキールズの空ボトルをメリーゴーランドの上に乗せよう！<br>花瓶がないとペダルを回せないよ。,将种植金盏花的科颜氏空瓶放在旋转木马台子上吧。<br>没有花瓶无法转动踏板,将种植金盏花的科颜氏空瓶放在旋转木马台子上吧。<br>没有花瓶无法转动踏板,นำขวดเปล่า Kiehl's ที่เก็บได้ไปที่สวนจิ๋ว <br>แล้วปลูกดอกคาเลนดูล่า,Letakkan botol berisi bunga Calendula di platform korsel. <br>Pedal tidak akan berfungsi tanpa vas bunga tersebut.,Поместите баночку с ромашкой на платформу карусели. <br>Без вазы педаль не будет крутиться.,Posiziona il flacone contenente il fiore di calendula sulla piattaforma della giostra. <br>Il pedale non si azionerà senza un vaso.,Coloque o frasco com a flor de calêndula na plataforma do carrossel. <br>Não é possível pedalar sem um vaso.,Coloca el frasco con la caléndula en la plataforma del carrusel. <br>El pedal no girará sin un jarrón.,Đặt một lọ hoa cúc trên bục đu quay. <br>Phải có lọ hoa thì bàn đạp mới có thể quay.,接著將種著金盞花的契爾氏空瓶放在旋轉木馬台子上，<br>要有花瓶才能轉動踏板,Placez la bouteille avec la fleur de calendula sur la plate-forme du manège. <br>La pédale ne tournera pas sans vase.,Kadife çiçeğinin bulunduğu şişeyi atlıkarınca platformuna yerleştir. <br>Vazo olmadan kol dönmez.
Kiehls_Tutorial_Guide_Desc_003_4,페달을 돌리면 아름다운 음악과 조명이 켜지며 메리고라운드가 움직일 거에요.,Ride a bicycle to turn on the beautiful music and lightings around the carousel. ,ペダルを回すと美しい音楽と照明が点灯してメリーゴーランドが動き出すよ。,随着踏板的转动，美妙的音乐和灯光会越来越大，旋转木马也会一起转动,随着踏板的转动，美妙的音乐和灯光会越来越大，旋转木马也会一起转动,เหยียบคันเหยียบเพื่อเปิดไฟกับเสียงเพลงสุดตระการตา และเคลื่อนม้าหมุน,"Kayuh pedal untuk menyalakan musik dan lampu yang cantik, dengan begitu korsel akan mulai bergerak.","Крутите педаль, чтобы включить прекрасную музыку и свет. Карусель придет в движение.",Usa il pedale per accendere la musica e le luci e azionare la giostra.,"Ao girar o pedal, começará a tocar uma linda música acompanhada de luzes, e o carrossel começará a funcionar.","Gira el pedal para activar la música y las luces, y el carrusel se pondrá en movimiento,","Xoay bàn đạp để bật âm nhạc sôi động và ánh đèn lung linh, vậy thì đu quay thú nhún sẽ bắt đầu chuyển động.",悠揚的音樂和美麗燈光將會隨著踏板的轉動而出現，接著旋轉木馬就會開始轉動了,"Il vous suffit de tourner la pédale pour allumer la belle musique et les lumières, puis le manège se met en marche.","Hoş müziği ve ışıkları açmak için kolu çevir, ardından atlıkarınca hareket etmeye başlayacaktır."
Kiehls_Tutorial_Guide_Desc_003_5,※ 메리고라운드가 움직일 때도 동시 탑승이 가능해요. <br>꽃병을 올린 뒤 함께 페달을 돌려주세요.,※ You can still ride bicycle even when the carousel is moving. <br>Place the flower vase for pedaling and activate the carousel.,※ メリーゴーランドは動く時も同時に搭乗が可能だよ。<br>花瓶を乗せた後、一緒にペダルを回そう！,※ 旋转木马转动时可以一起乘坐。<br>放上花瓶后，转动踏板吧,※ 旋转木马转动时可以一起乘坐。<br>放上花瓶后，转动踏板吧,※ สามารถขึ้นนั่งม้าหมุนขณะที่กำลังเคลื่อนอยู่ได้ หลังจากวาง<br>ขวดดอกไม้ ให้เหยียบคันเหยียบไปพร้อมกัน,"※ Kamu bisa menaiki korsel bahkan ketika ia sedang bergerak. <br>Letakkan vas bunga, lalu kayuh pedalnya.",※ Подняться на карусель можно даже во время ее движения. <br>Поместите вазу и затем крутите педаль.,※ Puoi salire sulla giostra anche mentre è in movimento. <br>Posiziona il vaso e attiva il pedale.,※ Você entrar no carrossel mesmo quando estiver em funcionamento. <br>Coloque o vaso e gire o pedal.,※ Puedes subirte al carrusel en movimiento. <br>Coloca el jarrón y gira el pedal. ,"※ Bạn có thể cưỡi đu quay thú nhún ngay cả khi nó đang chuyển động. <br>Đặt lọ hoa lên, rồi xoay bàn đạp. ",※ 可在旋轉木馬轉動時同時搭乘，<br>放上花瓶並一同轉動踏板吧,"※ Vous pouvez monter sur le manège même lorsqu'il est en mouvement. <br>Placez le vase, puis tournez la pédale.",※ Hareket halindeyken bile atlıkarıncaya binebilirsin. <br>Vazoyu yerleştir ve kolu çevir.
Kiehls_Tutorial_Guide_Desc_003_6,"가동률이 60%를 넘으면, 단상 위에 꽃병을 올릴 수 없어요. <br>동시 탑승이 어려우니 다음 차례를 기다려주세요.","If the speed of the bicycle exceeds 60%, you can’t place the flower vase on the platform. <br>Please wait for the next turn.",稼働率が60％を超えると、メリーゴーランドの上に花瓶を上げれなくなるよ。<br>同時に搭乗をするには次の順番を待とう〜,启动率超过60%时，台子上无法再放置花瓶。<br>无法同时乘坐，请等待下一轮,启动率超过60%时，台子上无法再放置花瓶。<br>无法同时乘坐，请等待下一轮,หากอัตราการเดินเครื่องเกิน 60% จะไม่สามารถ<br>วางขวดดอกไม้บนแท่นได้ และไม่สามารถขึ้น<br>นั่งม้าหมุนได้เช่นกัน กรุณารอรอบต่อไป,"Jika kecepatan operasi melebihi 60%, vas tidak dapat bertahan di platform. <br>Sulit untuk naik pada saat ini, jadi silakan tunggu giliran selanjutnya.","Ваза не будет стоять на платформе, если скорость движения превышает 60%. <br>При этом сложно подняться на карусель. Дождитесь следующего поворота.","Se la velocità di funzionamento supera il 60%, il vaso non potrà rimanere sulla piattaforma. <br>Dal momento che è difficile salire nello stesso momento, ti consigliamo di attendere il turno successivo.","Se a velocidade do carrossel estiver acima de 60%, o vaso não pode ficar plataforma. <br>Assim, não é possível entrar no carrossel, portanto a próxima vez.","Si la velocidad operativa supera el 60 %, el jarrón no podrá mantenerse en la plataforma. <br>Es difícil subirse al mismo tiempo, espera a la siguiente vuelta.","Nếu tốc độ vận hành vượt quá 60%, lọ hoa sẽ không thể giữ vững trên bục đu quay. <br>Rất khó để lên cùng một lúc, nên xin hãy đợi đến lượt tiếp theo.",當啟動率超過60%時將無法放置花瓶，<br>也不能同時搭乘，請等待下一輪,"Si la disponibilité dépasse 60%, le vase ne peut pas rester sur la plate-forme. <br>Il est difficile de monter à bord en même temps, alors veuillez attendre le prochain tour.",Çalışma hızı %60'ın üzerine çıkarsa vazo platformun üzerinde duramaz. <br>Hemen binmek zor olabilir bu yüzden lütfen bir sonraki turu bekle.
Kiehls_recycling_text_001,키엘 공병 재활용 캠페인에 참여해 봐요.,Join the Kiehl's recycling campaign.,キールズの空ボトルリサイクルキャンペーンに参加してみよう！,参加科颜氏空瓶回收活动吧,参加科颜氏空瓶回收活动吧,เข้าร่วมแคมเปญรีไซเคิลขวด Kiehl's,Ikut serta dalam kampanye daur ulang botol kosong Kiehl's.,Примите участие в кампании по переработке пустых баночек Kiehl's.,Partecipa alla campagna di riciclaggio di flaconi vuoti di Kiehl's.,Participe da campanha de reciclagem de frascos vazios da Kiehl.,Participa de la campaña de Kiehl's de reciclado de frascos.,Tham gia chiến dịch tái chế chai rỗng của Kiehl.,參與契爾氏空瓶運用活動吧！,Participez à la campagne de recyclage des bouteilles vides de Kiehl's.,Kiehl's'ın boş şişe geri dönüşüm kampanyasına katıl.
Kiehls_recycling_text_002,사용한 키엘 공병은 공병 수거함에 넣어주세요.,Put all Kiehl's empty bottles in the recycle bin.,使用したキールズの空ボトルは、空ボトル回収箱に入れてね。,将用完的科颜氏空瓶放入空瓶回收箱吧,将用完的科颜氏空瓶放入空瓶回收箱吧,นำขวดเปล่า Kiehl's ที่ใช้แล้วไปใส่ในจุดเก็บขวดเปล่า,Silakan letakkan botol kosong Kiehl's ke dalam kotak penumpulan botol kosong.,Поместите использованную пустую баночку Kiehl's в бокс для приема пустых баночек.,Inserisci il flacone vuoto Kiehl's nel contenitore di raccolta dei rifiuti.,Coloque o frasco vazio usado da Kiehl na caixa de coleta de frascos vazios.,Coloca los frascos vacíos de Kiehl's en la caja de recolección de frascos vacíos.,Xin hãy bỏ chai rỗng đã dùng của Kiehl vào hộp thu gom chai rỗng.,將用完的契爾氏空瓶投入空瓶回收桶,Veuillez déposer les bouteilles vides Kiehl's usagées dans la boîte de collecte de bouteilles vides.,Lütfen Kiehl's kullanılmış boş şişesini boş şişe toplama kutusuna koy.
Kiehls_recycling_text_003,키엘 공병을 모두 반납하면 특별한 선물을 받을 수 있어요.,Recycle all the empty bottles to receive a special gift.,キールズの空ボトルを全て返却すれとスペシャルプレゼントをもらえるよ！,回收所有的科颜氏空瓶可以获得特别礼物,回收所有的科颜氏空瓶可以获得特别礼物,เมื่อคืนขวดเปล่า Kiehl's ทั้งหมด จะได้รับของขวัญสุดพิเศษ,Kumpulkan semua botol kosong Kiehl's untuk menerima hadiah spesial.,Верните все пустые баночки Kiehl's и получите специальный подарок.,Restituisci tutti i flaconi vuoti Kiehl's per ricevere un regalo speciale.,Leve todos os frascos vazios da Kiehl para receber um presente especial.,Recupera todos los frascos vacíos de Kiehl's para recibir un regalo especial.,Trả chai rỗng của Kiehl để nhận một phần quà đặc biệt.,投入所有契爾氏空瓶後就能獲得特殊禮物,Renvoyez toutes les bouteilles vides Kiehl's pour recevoir un cadeau spécial.,Özel bir hediye almak için Kiehl's'ın tüm boş şişelerini iade et.
Kiehls_recycling_alert,아직 획득한 키엘 공병이 없어요.,You don't have any Kiehl's empty bottle yet.,まだ獲得したキールズの空ボトルがないよ。,目前还未获得科颜氏空瓶,目前还未获得科颜氏空瓶,ยังไม่มีขวดเปล่า Kiehl's,Anda belum memiliki botol kosong Kiehl's.,У вас нет пустой баночки Kiehl's.,Non possiedi ancora alcun flacone vuoto Kiehl's,Você ainda não possui frascos vazios da Kiehl.,Aún no tienes ningún frasco vacío de Kiehl's.,Bạn vẫn chưa có chai rỗng nào của Kiehl.,尚未獲得契爾氏空瓶,Vous n'avez pas encore obtenu de bouteille vide Kiehl's.,Henüz Kiehl's boş şişen yok.
Kiehls_minigarden_alert,플랜팅을 하려면 공병 화분이 필요해요.,You need Kiehl's empty bottle to start planting.,カレンデュラのお花を育てるには、キールズの空ボトルが必要だよ。,种植金盏花前，需要获得科颜氏空瓶,种植金盏花前，需要获得科颜氏空瓶,ต้องใช้ขวดเปล่า Kiehl's ในการปลูก,Anda memerlukan botol kosong Kiehl's untuk menanam.,"Чтобы посадить цветок, нужна пустая баночка Kiehl's.",Procurati un flacone vuoto Kiehl's per piantare il seme.,É necessário um frasco vazio da Kiehl para plantar.,Para plantar necesitas un frasco vacío de Kiehl's.,Bạn cần một chai rỗng của Kiehl để trồng hoa.,必須要有契爾氏空瓶才能種花,Vous avez besoin d'une bouteille vide de Kiehl's pour planter.,Yetiştirmek için Kiehl's'ın boş şişesine ihtiyacın var.
Kiehls_marrigoround_alert,메리고라운드를 움직이려면 칼렌듈라 꽃병이 필요해요.,You need a calendula vase to activate the carousel.,メリーゴーランドを動かすには、カレンデュラの花瓶が必要だよ。,想让旋转木马转动，需要金盏花花瓶,想让旋转木马转动，需要金盏花花瓶,ต้องใช้ขวดดอกคาเลนดูล่าในการเคลื่อนม้าหมุน,Anda memerlukan vas bunga Calendula untuk mengaktifkan korsel.,"Чтобы активировать карусель, нужна ваза с ромашкой.",Procurati un vaso di calendula per attivare la giostra.,É necessário um vaso de calêndula para ativar o carrossel.,Para activar el carrusel necesitas una caléndula en jarrón.,Bạn cần một lọ hoa cúc để khởi động đu quay thú nhún.,必須要有金盞花花瓶才能啟動旋轉木馬,Vous avez besoin d'un vase de calendula pour mettre le manège en marche.,Atlıkarıncayı etkinleştirmek için bir kadife çiçeği vazosuna ihtiyacın var.
Kiehls_marrigoround_popup,메리고라운드 움직이기,Activate the carousel.,メリーゴーランドを動かす,转动旋转木马,转动旋转木马,เคลื่อนม้าหมุน,Aktifkan korsel.,Активируйте карусель.,Avvia a giostra.,Ative o carrossel.,Activa el carrusel.,Khởi động đu quay.,啟動旋轉木馬,Mettre le manège en marche,Atlıkarıncayı etkinleştir.
Kiehls_marrigoround_popup_button,움직이기,Activate,動かす,转动,转动,เคลื่อน,Aktifkan,Активировать,Avvia,Ativar,Activar,Khởi Động,啟動,Mettre en marche,Etkinleştir
Kiehls_Quest_Title_001,포토존에서 인증샷은 필수!,Take a photo at the Photo Zone!,フォトゾーンモデル,记得在拍照区打卡！,记得在拍照区打卡！,ห้ามพลาดแชะภาพที่จุดถ่ายรูป!,Ambil foto di Zona Foto!,Сфотографируйтесь в фотозоне!,Scatta una foto nell'area delle foto!,Tire uma foto na área de fotos!,¡Haz una foto en la zona de fotos!,Chụp ảnh ở Khu Vực Chụp Ảnh!,別忘了在拍照區拍攝認證照！,Prenez une photo dans la zone photo !,Fotozon'da bir fotoğraf çek!
